cep;logradouro;complemento;bairro;localidade;uf;ibge;gia;ddd;siafi
69905-461;Travessa Praça;s/n;Cidade Nova;Rio Branco;AC;1200401;;68;139
69914-548;Travessa Praça;s/n;Ilson Ribeiro;Rio Branco;AC;1200401;;68;139
69900-054;Praça dos Catraeiros;s/n;Centro;Rio Branco;AC;1200401;;68;139
69905-460;Praça Campo do Atlético;s/n;Cidade Nova;Rio Branco;AC;1200401;;68;139
57022-100;Praça Raiol;s/n;Jaraguá;Maceió;AL;2704302;;82;2785
57030-075;Praça do Rex;s/n;Pajuçara;Maceió;AL;2704302;;82;2785
57051-630;Praça Sergipe;s/n;Farol;Maceió;AL;2704302;;82;2785
57030-009;Praça Lions Club;s/n;Pajuçara;Maceió;AL;2704302;;82;2785
57070-120;Praça São José;s/n;Fernão Velho;Maceió;AL;2704302;;82;2785
57035-420;Praça do Turista;s/n;Ponta Verde;Maceió;AL;2704302;;82;2785
57010-295;Praça do Pirulito;de 114 ao fim - lado par;Prado;Maceió;AL;2704302;;82;2785
57020-275;Praça do Pirulito;lado ímpar;Centro;Maceió;AL;2704302;;82;2785
57014-710;Praça Ciro Acyole;s/n;Ponta Grossa;Maceió;AL;2704302;;82;2785
57022-160;Praça Dois Leões;s/n;Jaraguá;Maceió;AL;2704302;;82;2785
57017-022;Praça do Pirulito;até 68 - lado par;Levada;Maceió;AL;2704302;;82;2785
57020-150;Praça dos Palmares;s/n;Centro;Maceió;AL;2704302;;82;2785
57020-420;Praça São Vicente;s/n;Centro;Maceió;AL;2704302;;82;2785
57020-903;Praça dos Palmares;36;Centro;Maceió;AL;2704302;;82;2785
57025-860;Praça da Maravilha;s/n;Poço;Maceió;AL;2704302;;82;2785
57020-130;Praça Dom Pedro II;s/n;Centro;Maceió;AL;2704302;;82;2785
57020-900;Praça Dom Pedro II;s/n;Centro;Maceió;AL;2704302;;82;2785
57010-020;Praça da Faculdade;s/n;Prado;Maceió;AL;2704302;;82;2785
57025-420;Praça Treze de Maio;s/n;Poço;Maceió;AL;2704302;;82;2785
57030-105;Praça Manoel Duarte;s/n;Pajuçara;Maceió;AL;2704302;;82;2785
57010-373;Praça Pingo D'Água;s/n;Trapiche da Barra;Maceió;AL;2704302;;82;2785
57017-065;Praça Santo Antônio;s/n;Levada;Maceió;AL;2704302;;82;2785
57051-140;Praça do Centenário;s/n;Farol;Maceió;AL;2704302;;82;2785
57014-320;Praça Guedes Miranda;s/n;Ponta Grossa;Maceió;AL;2704302;;82;2785
57037-335;Praça Cipriano Jucá;s/n;Mangabeiras;Maceió;AL;2704302;;82;2785
57070-050;Praça Eduardo Santos;s/n;Fernão Velho;Maceió;AL;2704302;;82;2785
57037-350;Praça Aloísio Branco;s/n;Mangabeiras;Maceió;AL;2704302;;82;2785
57025-568;Praça Unidos do Poço;s/n;Poço;Maceió;AL;2704302;;82;2785
57010-870;Praça São Sebastião;s/n;Pontal da Barra;Maceió;AL;2704302;;82;2785
57035-070;Praça Emílio de Maia;s/n;Ponta Verde;Maceió;AL;2704302;;82;2785
57020-919;Praça Marechal Deodoro;319;Centro;Maceió;AL;2704302;;82;2785
57070-570;Praça Leonildo Cardoso;s/n;Rio Novo;Maceió;AL;2704302;;82;2785
57017-085;Praça Carlos Paurílio;s/n;Levada;Maceió;AL;2704302;;82;2785
57020-040;Praça Marechal Deodoro;s/n;Centro;Maceió;AL;2704302;;82;2785
57020-921;Praça Marechal Deodoro;s/n;Centro;Maceió;AL;2704302;;82;2785
57020-410;Praça da Independência;s/n;Centro;Maceió;AL;2704302;;82;2785
57014-330;Praça Moleque Namorador;s/n;Ponta Grossa;Maceió;AL;2704302;;82;2785
57010-110;Praça Custódio de Melo;s/n;Prado;Maceió;AL;2704302;;82;2785
